vendor_name	invoice_pattern	charge_type	sample_count	priority
CASELLA WASTE SYSTEMS	ENERGY&ENVIRONMENTAL FEE:	Environmental Surcharge Industrial	1	1
CASELLA WASTE SYSTEMS	FEE:	Environmental Surcharge Industrial	1	1
CASELLA WASTE SYSTEMS	OC	Environmental Surcharge Commercial	1	1
CASELLA WASTE SYSTEMS	OC	Environmental Surcharge Commercial	1	1
CASELLA WASTE SYSTEMS	OC	Environmental Surcharge Commercial	1	1
CASELLA WASTE SYSTEMS	OC	Tax Industrial	1	1
CASELLA WASTE SYSTEMS	OC	Environmental Surcharge Commercial	1	1
CASELLA WASTE SYSTEMS	OC	Fuel Surcharge Industrial	1	1
CASELLA WASTE SYSTEMS	OC	Environmental Surcharge Commercial	1	1
CASELLA WASTE SYSTEMS	OC	Environmental Surcharge Industrial	1	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	1	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	1	1
CASELLA WASTE SYSTEMS	OC	Local Surcharges/Fees Industrial	1	1
CASELLA WASTE SYSTEMS	OC	Local Surcharges/Fees Commercial	1	1
CASELLA WASTE SYSTEMS	OC	Vendor Cost Increase - Commercial	1	1
CASELLA WASTE SYSTEMS	OC	Local Surcharges/Fees Commercial	1	1
CASELLA WASTE SYSTEMS	OC	Environmental Surcharge Commercial	1	1
CASELLA WASTE SYSTEMS	OC	Environmental Surcharge Industrial	1	1
CASELLA WASTE SYSTEMS	OC	Vendor Cost Increase - Industrial	1	1
CASELLA WASTE SYSTEMS	RESOURCE SOLUTIONS ENERGY & ENVIRONMENTA	Tax Industrial	1	1
CASELLA WASTE SYSTEMS	RESOURCE SOLUTIONS ENERGY & ENVIRONMENTA	Tax Commercial	1	1
CASELLA WASTE SYSTEMS	RESOURCE SOLUTIONS ENERGY&ENVIRONMENTAL	Environmental Surcharge Industrial	1	1
CASELLA WASTE SYSTEMS	SOLUTIONS ENERGY&ENVIRONMENTAL FEE:	Local Surcharges/Fees Commercial	1	1
CASELLA WASTE SYSTEMS	UNLOADING BULBS AND DISPOSING	FUEL SURCHARGE	1	1
Flood Brothers	YD TRASH SERVICE	Monthly Service Commercial	1	1
Flood Brothers	YD RECYCLING SERVICE	Monthly Service Commercial	1	1
Flood Brothers	YD TRASH SERVICE	Monthly Service Commercial	1	1
Fusion Waste	FUEL SURCHARGE - ROLL OFF -	Fuel Surcharge Industrial	84	1
Fusion Waste	FUEL SURCHARGE - ROLL OFF	Fuel Surcharge Industrial	35	1
Fusion Waste	SALES TAX	Tax Industrial	21	1
Fusion Waste	FRANCHISE FEE - IRVING	Franchise Fee Industrial	7	1
Fusion Waste	FUEL SURCHARGE - FRONT LOAD	Fuel Surcharge Commercial	6	1
