vendor_name	invoice_pattern	charge_type	sample_count	priority
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	114	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	114	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	114	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	114	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	114	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	114	1
Republic Services	PICKUP SERVICE /	Empty & Return	104	1
Republic Services	PICKUP SERVICE /	Empty & Return	104	1
Republic Services	PICKUP SERVICE /	Empty & Return	104	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	102	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	PICKUP SERVICE /	Empty & Return	100	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Trip Charge	99	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	99	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	99	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	99	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	99	1
Republic Services	PICKUP SERVICE	Empty & Return	96	1
Republic Services	PICKUP SERVICE /	Empty & Return	96	1
Republic Services	PICKUP SERVICE /	Empty & Return	96	1
Republic Services	PICKUP SERVICE /	Empty & Return	96	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	96	1
Republic Services	PICKUP SERVICE /	Empty & Return	94	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK C	Empty & Return	84	1
Republic Services	CKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	OC	Empty & Return	84	1
Republic Services	PICKUP SERVICE /	Empty & Return	84	1
Republic Services	PICKUP SERVICE /	Empty & Return	84	1
Republic Services	PICKUP SERVICE /	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	84	1
Republic Services	PICKUP SERVICE /	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NE\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NE\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	84	1
Republic Services	PICKUP SERVICE /	Empty & Return	84	1
Republic Services	PICKUP SERVICE /	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	84	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	81	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	81	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK C	Empty & Return	80	1
Republic Services	PICKUP ERVICE /	Empty & Return	80	1
Republic Services	PICKUP SERVICE /	Empty & Return	80	1
Republic Services	PICKUP SERVICE /	Empty & Return	80	1
Republic Services	PICKUP SERVICE /	Empty & Return	80	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	80	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	80	1
Republic Services	PICKUP SERVICE /	Empty & Return	80	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	80	1
Republic Services	PICKUP SERVICE /	Empty & Return	80	1
Republic Services	PICKUP SERVICE /\NUPS (BLDG B/#/LOC ) WA	Empty & Return	80	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	78	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	78	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	78	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	78	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	78	1
Republic Services	/	Empty & Return	76	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	76	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	76	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	76	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	76	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	76	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	76	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	76	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	76	1
Republic Services	PICKUP SERVICE /\NSERVICE\NRECEIPT NUMBE	Empty & Return	76	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	76	1
Republic Services	TON	Disposal Charge	72	1
Republic Services	WASTE COMPACTOR CU YD ON CALL SERVICE\ND	Disposal Charge	72	1
Republic Services	TONS	Disposal Charge	72	1
Republic Services	TONS	Disposal Charge	72	1
Republic Services	TONS	Disposal Charge	72	1
Republic Services	DISPOSAL TONS	Disposal Charge	72	1
Republic Services	DISPOSAL/RECY	Disposal Charge	72	1
Republic Services	TONS	Disposal Charge	72	1
Republic Services	RENTAL /-/	Monthly Rental Industrial	70	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK C	Empty & Return	68	1
Republic Services	PICKUP SERVICE /	Empty & Return	68	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	68	1
Republic Services	PICKUP SERVICE /	Empty & Return	68	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	68	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	68	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	68	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	68	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	68	1
Republic Services	CONTAINER DELIVERY /\NRECEIPT NUMBER	Trip Charge	66	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	66	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	66	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	66	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	66	1
Republic Services	/	Empty & Return	64	1
Republic Services	PICKUP SERVICE /	Empty & Return	64	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	64	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	64	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	64	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	64	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	64	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	64	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	64	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	64	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	64	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	64	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	64	1
Republic Services	PICKUP SERVICE /-/	Monthly Service Commercial	64	1
Republic Services	PICKUP SERVICE /	Empty & Return	64	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	63	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	63	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	63	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	63	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	63	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	63	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	63	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	63	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	63	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	63	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	63	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	60	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	60	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	60	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	60	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	60	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	60	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	60	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	60	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	56	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	54	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	54	1
Republic Services	PICKUP SERVICE /	Empty & Return	54	1
Republic Services	PICKUP SERVICE /-/	Monthly Service Commercial	54	1
Republic Services	RECYCLE CART / GAL LIFT PER WEEK\NRECYCL	Monthly Service Commercial	48	1
Republic Services	PICKUP SERVICE /	Empty & Return	48	1
Republic Services	PICKUP SERVICE /	Empty & Return	48	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	48	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	48	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	48	1
Republic Services	PICKUP SERVICE /\N WASTE CONTAINER CU YD	Empty & Return	46	1
Republic Services	PICKUP SERVICE /-/	Monthly Service Commercial	46	1
Republic Services	PICKUP SERVICE /-/	Monthly Service Commercial	43	1
Republic Services	MIXED ORGANICS CART / GAL LIFT PER WEEK	Monthly Service Commercial	42	1
Republic Services	FRONT LOAD YD LIFTS PER WEEK\NPICKUP SER	Monthly Service Commercial	36	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	36	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	36	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	36	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	36	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	36	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER\N	Trip Charge	33	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	33	1
Republic Services	BLACK CONTAINER CU YD LIFTS PER WEEK\NWA	Overage	32	1
Republic Services	PICKUP SERVICE /	Empty & Return	32	1
Republic Services	PICKUP SERVICE /\NLATHROP CA CONTRACT: (	Empty & Return	32	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	32	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	32	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	32	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	32	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	32	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	32	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	30	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	30	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	30	1
Republic Services	WASTE/RECYCLING OVERAGE /\NOVERLOAD CHAR	Overage	30	1
Republic Services	/	Empty & Return	28	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK W	Trip Charge	28	1
Republic Services	PICKUP /	Empty & Return	28	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	28	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	28	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	28	1
Republic Services	/	Empty & Return	27	1
Republic Services	/	Empty & Return	27	1
Republic Services	/	Empty & Return	27	1
Republic Services	PICKUP /	Empty & Return	27	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	27	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	27	1
Republic Services	PICKUP SERVICE /	Empty & Return	27	1
Republic Services	PICKUP SERVICE /	Empty & Return	27	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	27	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	27	1
Republic Services	PICKUP SERVICE /-/	Monthly Service Commercial	27	1
Republic Services	RENTAL /-/	Monthly Rental Industrial	25	1
Republic Services	PICKUP SERVICE /-/	Monthly Service Commercial	24	1
Republic Services	PICKUP SERVICE /\NYD WASTE CART / GAL LI	Empty & Return	24	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	24	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	24	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	24	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	24	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	24	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	24	1
Republic Services	RECYCLING SERVICE /-/	Monthly Service Commercial	24	1
Republic Services	RENTAL /-/	Compactor Rental	24	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	24	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	24	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	24	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	24	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	24	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	24	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	24	1
Republic Services	UNLOCK/LOCK FEE /-/	Local Surcharges/Fees Commercial	22	1
Republic Services	UNLOCK/LOCK FEE /-/	Lock Bar	22	1
Republic Services	ADMINISTRATIVE FEE	Local Surcharges/Fees Commercial	21	1
Republic Services	WASTE CONTAINER CU YD LIFT PER WEEK\NPIC	Monthly Service Commercial	20	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	20	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	20	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	20	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	20	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	20	1
Republic Services	UNLOCK/LOCK FEE /-/	Local Surcharges/Fees Commercial	20	1
Republic Services	UNLOCK/LOCK FEE /-/	Local Surcharges/Fees Commercial	20	1
Republic Services	/	Overage	18	1
Republic Services	/	Overage	18	1
Republic Services	/	Overage	18	1
Republic Services	FRONT LOAD YD LIFTS PER WEEK\NWASTE/RECY	Overage	18	1
Republic Services	FRONT LOAD RECYCLING YD LIFTS PER WEEK C	Overage	18	1
Republic Services	WASTE CONTAINER CU YD LIFT PER WEEK	Trip Charge	18	1
Republic Services	ADMINISTRATIVE FEE /-/	Local Surcharges/Fees Commercial	18	1
Republic Services	ADMINISTRATIVE FEE /-/	Local Surcharges/Fees Commercial	18	1
Republic Services	AGE /	Overage	18	1
Republic Services	RENTAL /-/	Compactor Rental	18	1
Republic Services	UNLOCK/LOCK FEE /-/	Local Surcharges/Fees Commercial	18	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	18	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	18	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	18	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	18	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	18	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	18	1
Republic Services	/	Overage	16	1
Republic Services	/	Overage	16	1
Republic Services	/	Overage	16	1
Republic Services	FRONT LOAD YD LIFT PER WEEK\NPICKUP SERV	Monthly Service Commercial	16	1
Republic Services	IND RECYCLE CONT COMP YD LIFT PER WEEK\N	Empty & Return	16	1
Republic Services	RECYCLE CART / GAL LIFT PER WEEK\NRECYCL	Monthly Service Commercial	16	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK	Monthly Service Commercial	16	1
Republic Services	WASTE CONTAINER CU YD LIFT PER WEEK\NWAS	Overage	16	1
Republic Services	CLING OVERAGE /	Overage	16	1
Republic Services	PICKUP SERVICE /\NCONTAMINATED MATERIALS	Empty & Return	16	1
Republic Services	PICKUP SERVICE /\NCONTAMINATED MATERIALS	Empty & Return	16	1
Republic Services	PICKUP SERVICE /-/	Monthly Service Commercial	16	1
Republic Services	PICKUP SERVICE /-/	Monthly Service Commercial	16	1
Republic Services	PICKUP SERVICE /\N WASTE CONTAINER CU YD	Empty & Return	16	1
Republic Services	PICKUP SERVICE /	Empty & Return	16	1
Republic Services	PICKUP SERVICE /	Empty & Return	16	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	16	1
Republic Services	PICKUP SERVICE /	Empty & Return	16	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	16	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	16	1
Republic Services	RECYCLING SERVICE /-/	Monthly Service Commercial	16	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	16	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	16	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	16	1
Republic Services	TOTAL STATE SALES TAX	Tax Commercial	16	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	16	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	16	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	16	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	16	1
Republic Services	WASTE/RECYCLING OVERAGE /\NOVERLOAD CHAR	Overage	16	1
Republic Services	WASTE/RECYCLING OVERAGE /\NOVERLOAD CHAR	Overage	16	1
Republic Services	WASTE/RECYCLING OVERAGE /\NOVERLOAD CHAR	Overage	16	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	15	1
Republic Services	/	Overage	14	1
Republic Services	OVERLOAD CHARGE\NWASTE/RECYCLING OVERAGE	Overage	14	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	14	1
Republic Services	FRONT LOAD YD LIFT PER WEEK\NWASTE/RECYC	Overage	12	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Monthly Service Commercial	12	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Trip Charge	12	1
Republic Services	TRASH CART / GAL LIFT PER WEEK\NPICKUP S	Monthly Service Commercial	12	1
Republic Services	WASTE CONTAINER CU YD LIFTS PER WEEK\NPI	Monthly Service Commercial	12	1
Republic Services	YD WASTE CART / GAL LIFT PER WEEK ORGANI	Monthly Service Commercial	12	1
Republic Services	DISPOSAL/RECYCLING /	Local Surcharges/Fees Industrial	12	1
Republic Services	OC	Empty & Return	12	1
Republic Services	PICKUP SERVICE /	Empty & Return	12	1
Republic Services	PICKUP SERVICE /	Empty & Return	12	1
Republic Services	PICKUP SERVICE /\N WASTE CONTAINER CU YD	Empty & Return	12	1
Republic Services	RECYCLING SERVICE /-/	Monthly Service Commercial	12	1
Republic Services	RENTAL /-/	Compactor Rental	12	1
Republic Services	RENTAL /-/\N WASTE CONTAINER CU YD ON CA	Monthly Rental Industrial	12	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	12	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	12	1
Republic Services	WASTE/RECYCLING OVERAGE /\NOVERLOAD CHAR	Overage	12	1
Republic Services	FRONT LOAD YD LIFT PER WEEK\NPICKUP SERV	Monthly Service Commercial	10	1
Republic Services	RECYCLE CART / GAL LIFT PER WEEK\NRECYCL	Monthly Service Commercial	10	1
Republic Services	RENTAL /-/	Monthly Rental Industrial	10	1
Republic Services	TRASH CART / GAL LIFT PER WEEK\NPICKUP S	Monthly Service Commercial	9	1
Republic Services	WASTE CONTAINER CU YD LIFT PER WEEK\NPIC	Monthly Service Commercial	9	1
Republic Services	HOURS RATE /	Overage	9	1
Republic Services	RENTAL /-/	Monthly Rental Industrial	9	1
Republic Services	/	Overage	8	1
Republic Services	FI MIXED ORGANICS YD LIFT PER WEEK ORGAN	Monthly Service Commercial	8	1
Republic Services	FI MIXED ORGANICS YD LIFTS PER WEEK ORGA	Monthly Service Commercial	8	1
Republic Services	FI MIXED ORGANICS YD LIFTS PER WEEK ORGA	Monthly Service Commercial	8	1
Republic Services	FRONT LOAD YD LIFT PER WEEK\NPICKUP SERV	Monthly Service Commercial	8	1
Republic Services	FRONT LOAD YD LIFT PER WEEK\NPICKUP SERV	Monthly Service Commercial	8	1
Republic Services	FRONT LOAD YD LIFTS PER WEEK\NPICKUP SER	Monthly Service Commercial	8	1
Republic Services	FRONT LOAD RECYCLING YD LIFT PER WEEK\NP	Monthly Service Commercial	8	1
Republic Services	FRONT LOAD RECYCLING YD LIFT PER WEEK\NR	Monthly Service Commercial	8	1
Republic Services	FRONT LOAD RECYCLING YD LIFTS PER WEEK C	Overage	8	1
Republic Services	IND RECYCLE CONT COMP YD LIFT PER WEEK\N	Empty & Return	8	1
Republic Services	MIXED ORGANICS CART / GAL LIFT PER WEEK	Monthly Service Commercial	8	1
Republic Services	MIXED ORGANICS CART / GAL LIFT PER WEEK	Monthly Service Commercial	8	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Monthly Service Commercial	8	1
Republic Services	RECYCLE CONTAINER CU YD ON CALL SERVICE\	Monthly Rental Industrial	8	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Monthly Service Commercial	8	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Monthly Service Commercial	8	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Monthly Service Commercial	8	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Monthly Service Commercial	8	1
Republic Services	TRASH CART / GAL LIFT PER WEEK\NPICKUP S	Monthly Service Commercial	8	1
Republic Services	WASTE COMPACTOR CU YD ON CALL SERVICE\NS	Trip Charge	8	1
Republic Services	WASTE CONTAINER CU YD LIFTS PER WEEK\NWA	Overage	8	1
Republic Services	WASTE CONTAINER CU YD LIFT PER WEEK\NWAS	Overage	8	1
Republic Services	WASTE CONTAINER CU YD LIFTS PER WEEK\NPI	Monthly Service Commercial	8	1
Republic Services	WASTE CONTAINER CU YD LIFT PER WEEK\NPIC	Monthly Service Commercial	8	1
Republic Services	WASTE CONTAINER CU YD LIFT PER WEEK\NPIC	Monthly Service Commercial	8	1
Republic Services	WASTE CONTAINER CU YD LIFT PER WEEK\NPIC	Monthly Service Commercial	8	1
Republic Services	WASTE CONTAINER CU YD LIFT PER WEEK\NWAS	Overage	8	1
Republic Services	WASTE CONTAINER CU YD LIFTS PER WEEK\NPI	Monthly Service Commercial	8	1
Republic Services	BLACK CONTAINER CU YD LIFTS PER WEEK\NWA	Overage	8	1
Republic Services	BLACK CONTAINER CU YD LIFTS PER WEEK\NWA	Overage	8	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Overage	8	1
Republic Services	ADMINISTRATIVE FEE /-/	Local Surcharges/Fees Commercial	8	1
Republic Services	ADMINISTRATIVE FEE /-/	Local Surcharges/Fees Commercial	8	1
Republic Services	ADMINISTRATIVE FEE /-/	Local Surcharges/Fees Commercial	8	1
Republic Services	ADMINISTRATIVE FEE /-/	Local Surcharges/Fees Commercial	8	1
Republic Services	AGE /	Overage	8	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	8	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	8	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	8	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	8	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	8	1
Republic Services	PICKUP SERVICE /	Empty & Return	8	1
Republic Services	PULL-OUT CHARGE /-/	Local Surcharges/Fees Commercial	8	1
Republic Services	RECYCLING PROCESSING CHARGE /-/	Local Surcharges/Fees Commercial	8	1
Republic Services	RENTAL /-/	Compactor Rental	8	1
Republic Services	RENTAL /-/	Compactor Rental	8	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	8	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	8	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	8	1
Republic Services	SERVICE ATTEMPT /\NRECEIPT NUMBER	Trip Charge	8	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	8	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	8	1
Republic Services	SERVICE ATTEMPT /	Trip Charge	8	1
Republic Services	TOTAL HENDERSON ENVIRONMENTAL SURCHG	Fuel Surcharge Commercial	8	1
Republic Services	UNLOCK/LOCK FEE /-/	Local Surcharges/Fees Commercial	8	1
Republic Services	UNLOCK/LOCK FEE /-/	Local Surcharges/Fees Commercial	8	1
Republic Services	WASTE/ AGE /	Overage	8	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	8	1
